: 1614365091:0;sudo apt-get install fonts-powerline
: 1614365104:0;code ~/.zshrc
: 1614365164:0;cd hello
: 1614365171:0;cd web-programming-projects/new-commerce
: 1614365174:0;cd ..
: 1614365179:0;ls
: 1614365288:0;cd
: 1614365293:0;cd hello/web-programming-projects
: 1614365300:0;code .
: 1614365322:0;git status
: 1614365415:0;ls
: 1614365460:0;cd hello/web-programming-projects
: 1614365550:0;ls
: 1614365552:0;cd 
: 1614365553:0;ls
: 1614365598:0;sudo apt install ranger
: 1614365678:0;ranger
: 1614365770:0;ls ~
: 1614365780:0;code ~/.zshrc
: 1614365819:0;cd
: 1614365822:0;ls
: 1614365830:0;cd hello/web-programming-projects/new-commerce
: 1614365832:0;ls
: 1614365845:0;cd
: 1614365863:0;cd hello/web-programming-projects/new-commerce
: 1614365874:0;cd
: 1614365878:0;code ~/.zshrc
: 1614386153:0;ls
: 1614386540:0;cd
: 1614386541:0;ls
: 1614386566:0;code ~/.zshrc
: 1614386793:0;sudo apt-get install zsh-antigen
: 1614386894:0;source ~/.zshrc
: 1614386948:0;curl -L git.io/antigen-nightly > antigen.zsh
: 1614386961:0;code ~/antigen.zsh
: 1614386975:0;source ~/.zshrc
: 1614387003:0;sudo apt install cowsay
: 1614387225:0;source ~/.zshrc
: 1614387263:0;mutt
: 1614387298:0;source ~/.zshrc
: 1614387301:0;mutt
: 1614387326:0;z new
: 1614387334:0;source ~/.zshrc
: 1614387337:0;z new
: 1614387341:0;z new-commerce
: 1614387342:0;z
: 1614387357:0;source ~/.zshrc
: 1614387360:0;z new
: 1614387362:0;ls
: 1614387373:0;z new-commerce
: 1614387374:0;ls
: 1614387378:0;cd hello
: 1614387384:0;z new
: 1614387388:0;z web
: 1614387393:0;cd web-programming-projects
: 1614387401:0;cd new-commerce
: 1614387402:0;ls
: 1614387462:0;cd
: 1614387473:0;source ~/.zshrc
: 1614387518:0;ls
: 1614387526:0;source ~/.zshrc
: 1614387664:0;ls
: 1614387673:0;cd
: 1614387795:0;source ~/.zshrc
: 1614387803:0;ls
: 1614387814:0;source ~/.zshrc
: 1614387827:0;cd
: 1614387829:0;ls
: 1614387830:0;cd
: 1614387834:0;cd 
: 1614387837:0;cd new-commerce
: 1614387846:0;cd hello/web-programming-projects/new-commerce
: 1614387852:0;ls
: 1614388023:0;cd
: 1614388061:0;source ~/.zshrc
: 1614388066:0;python3
: 1614388253:0;code ~/.zshrc
